factura_nota;n_control;fecha_registro;mes;rif_cliente;fecha_auditoria;fecha_registro;cliente;codigo_producto;producto;estandar;unidad_medida; cajas_devueltas ;display_devueltos;paq_und_devueltas;lote;fecha_vencimiento;chofer;transporte;motivo;Tipo_de_devolucion;responsable;zona;asesor;nota_credito;recibida;comentarios;
30206;2029538;8/1/26;1;J-310904553;8/1/26;8/1/26;COMERCIAL TINITO EL TIGRE, C.A.;PC0357;PAPA CRUNCH QUESO 50U X 35G;50; CAJA ;3; -   ; -   ;LWP0225;5/2/26;EFREN MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. ANZOÁTEGUI;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30205;2029539;8/1/26;1;J-310904553;8/1/26;8/1/26;COMERCIAL TINITO EL TIGRE, C.A.;OP6301;CARAMELO MASTICABLE PITECO 30P X 250G;30; CAJA ;1; -   ; -   ;L26920;26/9/27;EFREN MUÑOZ;CESARIO PARRA;FALTANTE;FISICO;OTROS;EDO. ANZOÁTEGUI;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;04 PAQS. FALTANTES - DEVUELVE LA CAJA
30249;2029540;8/1/25;1;J-505877569;8/1/26;8/1/26;HYPERMERCADO ECOMAS, C.A;WG4048;PALMERITAS WYNCO FAMILY PACK 48C X 54G;48; CAJA ;1; -   ; -   ;L25080;22/3/26;ROLANDO MUÑOZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO I;LUIS FERRER;;SI;FEHA VENCIMIENTO
48391;2029541;12/1/26;1;J-303713653;12/1/26;8/1/26;FRIGORIFICO LA POLLERA C.A.;GM2550;MARSHMALLOWS MULTICOLOR 30P X 255G;30; CAJA ;2; -   ; -   ;;;ALI ALVARADO;CESARIO PARRA;SIN TIEMPO PARA ENTREGA;FISICO;LOGISTICA;EDO. LARA;AV - LARA - YARACUY I;VACANTE AV - LARA - YARACUY I;;SI;SIN TIEMPO PARA HACER LA ENTREGA - COBRO A TRANSPORTE 01 CAJA WP3692 - SE REENVIA LA MERCANCIA
48391;2029541;12/1/26;1;J-303713653;12/1/26;8/1/26;FRIGORIFICO LA POLLERA C.A.;GM2552;MARSHMALLOWS BLANCO 30P X 255G;30; CAJA ;2; -   ; -   ;;;ALI ALVARADO;CESARIO PARRA;SIN TIEMPO PARA ENTREGA;FISICO;LOGISTICA;EDO. LARA;AV - LARA - YARACUY I;VACANTE AV - LARA - YARACUY I;;SI;SIN TIEMPO PARA HACER LA ENTREGA - COBRO A TRANSPORTE 01 CAJA WP3692 - SE REENVIA LA MERCANCIA
48391;2029541;12/1/26;1;J-303713653;12/1/26;8/1/26;FRIGORIFICO LA POLLERA C.A.;WP3692;GELATINA ZERO AZUCAR WYNCO PIÑA 36U X 12G;36; CAJA ;1; -   ; -   ;;;ALI ALVARADO;CESARIO PARRA;FALTANTE;FISICO;TRANSPORTE;EDO. LARA;AV - LARA - YARACUY I;VACANTE AV - LARA - YARACUY I;;NO;SIN TIEMPO PARA HACER LA ENTREGA - COBRO A TRANSPORTE 01 CAJA WP3692 - SE REENVIA LA MERCANCIA
48386;2029542;12/1/26;1;J-412864769;12/1/26;8/1/26;COMERCIALIZADORA GLOBAL C Y D, C.A;MT1606;TARTALETA ISABELA DUE CHOCO BLANCO  50P X 140G;50; CAJA ;1; -   ; -   ;LC05825B06;27/2/26;ISAAC LOPEZ;CESARIO PARRA;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO III;CESAR MENDEZ;;SI;FEHA VENCIMIENTO
30176;2029543;12/1/26;1;J-409990001;12/1/26;7/1/26;COMERCIAL TINITO BARCELONA, C.A.;CF2036;CHOCO FORTE 36P X 200G;36; CAJA ;5; -   ; -   ;L25308;4/11/27;FERNANDO MARQUEZ;FLETY EXPRESS DEL CENTRO;PROBLEMAS CALIDAD;FISICO;OTROS;EDO. ANZOÁTEGUI;EN - ORIENTE NORTE;JOSE CANACHE;;SI;CF2036 - CF4025: PROBLEMAS DE CALIDAD - OK PARA LA VENTA / DG0509: 02 PAQS. FALTANTES - SE QUEDA CON LA CAJA / DG0510 - DG0803: OK PARA LA VENTA
30176;2029543;12/1/26;1;J-409990001;12/1/26;7/1/26;COMERCIAL TINITO BARCELONA, C.A.;CF4025;CHOCO FORTE 25P X 400G;25; CAJA ;3; -   ; -   ;L25283;10/10/27;FERNANDO MARQUEZ;FLETY EXPRESS DEL CENTRO;PROBLEMAS CALIDAD;FISICO;OTROS;EDO. ANZOÁTEGUI;EN - ORIENTE NORTE;JOSE CANACHE;;SI;CF2036 - CF4025: PROBLEMAS DE CALIDAD - OK PARA LA VENTA / DG0509: 02 PAQS. FALTANTES - SE QUEDA CON LA CAJA / DG0510 - DG0803: OK PARA LA VENTA
30176;2029543;12/1/26;1;J-409990001;12/1/26;7/1/26;COMERCIAL TINITO BARCELONA, C.A.;DG0509;STICKS ACIDOS 12P X 70G;12; PAQ. ; -   ; -   ;2;;;FERNANDO MARQUEZ;FLETY EXPRESS DEL CENTRO;FALTANTE;FINANCIERO;OTROS;EDO. ANZOÁTEGUI;EN - ORIENTE NORTE;JOSE CANACHE;;NO;CF2036 - CF4025: PROBLEMAS DE CALIDAD - OK PARA LA VENTA / DG0509: 02 PAQS. FALTANTES - SE QUEDA CON LA CAJA / DG0510 - DG0803: OK PARA LA VENTA
